k,bucket,error
1,1,0.1438
3,1,0.1538
5,1,0.1566
7,1,0.1658
9,1,0.1702
1,2,0.1452
3,2,0.1612
5,2,0.171
7,2,0.1766
9,2,0.1834
1,3,0.1458
3,3,0.1606
5,3,0.1678
7,3,0.1708
9,3,0.1788
1,4,0.1484
3,4,0.157
5,4,0.1674
7,4,0.1732
9,4,0.1764
1,5,0.149
3,5,0.1622
5,5,0.1688
7,5,0.1792
9,5,0.1816
1,6,0.1444
3,6,0.1528
5,6,0.1576
7,6,0.1608
9,6,0.1662
1,7,0.149
3,7,0.1658
5,7,0.1798
7,7,0.1794
9,7,0.1826
1,8,0.152
3,8,0.1628
5,8,0.1702
7,8,0.1746
9,8,0.1756
1,9,0.1468
3,9,0.1566
5,9,0.1662
7,9,0.1736
9,9,0.184
1,10,0.156
3,10,0.1654
5,10,0.1704
7,10,0.179
9,10,0.1796
